age,income,purchase_amount,satisfaction_score
27,40682,18249,6
29,15317,4557,6
37,38849,11822,6
30,11568,4098,7
31,46952,19685,5
38,7347,2822,5
32,8265,3293,7
24,47773,21794,5
27,19154,5819,5
28,24666,8779,6
35,43896,16158,6
32,40044,13608,5
32,6735,2450,5
30,19034,5579,5
28,35748,12901,3
38,26282,9644,7
32,49088,21329,5
21,20163,7612,3
33,10660,3129,6
28,40725,12764,6
25,46173,17638,5
29,37894,12838,5
25,8936,3264,5
27,36226,12633,4
27,40646,11869,5
22,7915,2188,6
34,39287,11944,6
31,42196,12137,6
25,38932,15844,5
36,42955,15289,4
32,6952,2080,6
29,26915,11833,4
34,9545,4155,5
34,13128,4475,6
34,13820,5888,6
33,43701,14083,5
32,41024,16783,6
30,42930,17967,5
29,25750,9505,4
28,46720,17595,6
27,41298,12690,5
29,5513,1693,5
24,13482,4842,5
40,14522,5347,3
35,24758,11293,6
25,45527,16596,6
28,6755,2394,6
28,45358,16856,6
33,12972,5197,5
30,31837,12967,6
31,29373,12114,5
30,28752,8649,4
30,8328,3079,5
36,22078,7587,6
29,15865,6884,4
37,6818,1987,7
23,44939,18416,5
33,47716,20515,2
31,10315,3895,3
31,13873,5046,6
32,8679,2908,4
28,23397,8066,3
29,34677,13341,6
25,19249,6020,5
25,7346,2301,5
31,9888,3708,4
32,33549,12038,6
30,22871,8146,6
34,43035,13002,5
39,17226,6617,4
28,40025,8973,4
20,49144,20296,3
34,17948,5486,6
27,30376,10110,5
27,31926,11083,5
35,8133,2939,5
29,12930,4059,3
25,13114,2916,5
31,29452,9814,5
29,32324,9535,4
30,24706,9536,3
32,5778,2236,5
28,12977,3542,5
33,43758,18843,5
29,49741,12915,5
31,6994,2101,7
35,14104,5398,5
32,32621,9408,4
29,40520,13186,3
35,40735,11223,3
34,19281,6960,7
32,40219,11462,6
31,18963,6759,6
27,25836,9433,6
36,6161,2115,6
27,9697,2441,6
40,35606,10354,6
37,6856,2387,6
29,5135,1676,4
25,6158,1728,6
27,29170,10705,7
31,34887,15266,4
29,14391,5272,6
28,5048,1568,4
26,27404,10044,5
30,6752,1984,4
26,7829,3001,5
23,38461,11216,3
28,27443,9438,6
34,46718,15534,5
27,47622,18507,4
33,21874,8568,5
23,30137,9744,5
30,14535,4762,5
32,9883,4289,6
31,49578,19903,5
30,25071,9083,5
27,22192,10879,5
26,13379,4327,4
25,18915,8860,6
31,29125,10755,5
26,21349,6518,5
28,36299,10395,5
29,6872,1888,4
38,46609,20447,5
27,25134,7882,4
31,43862,17394,7
30,31711,13669,6
26,13509,3227,4
30,28429,9690,7
36,17591,7785,6
32,37908,11395,5
30,31044,10343,5
28,38758,13781,4
21,38467,11408,4
35,22988,9936,6
23,26627,9547,4
33,31265,10766,4
39,47194,17373,6
24,42676,15874,6
33,17214,6098,5
29,42627,13441,6
23,44764,18931,4
23,33907,13086,5
23,32419,11515,4
28,39265,13114,4
23,48577,19674,7
33,32069,12844,5
39,16736,6937,5
24,8854,3085,4
34,26603,10573,5
33,26110,9307,6
31,11871,3330,5
25,41283,14639,4
29,31916,10921,6
29,10545,3966,4
33,34940,11283,7
28,43623,16513,5
34,28363,12462,7
28,9764,4345,5
35,42574,11767,3
25,26516,7435,2
24,19371,6986,4
44,46160,18143,4
28,9172,2659,6
31,14199,4785,5
33,41493,13142,6
28,44178,16278,6
32,41456,12272,4
32,20873,5900,5
29,41943,13751,5
30,33403,14141,4
30,39944,15514,4
40,12925,3995,6
27,48053,12657,4
25,7156,2110,4
30,48189,19672,4
31,44034,12097,6
32,17877,7104,5
28,37512,13374,5
25,25088,9764,3
36,48792,18203,6
28,9552,3110,5
26,25282,6691,6
29,28678,10566,4
29,25024,8423,3
35,9157,3337,5
30,34416,10313,6
33,29355,10525,5
28,32818,10428,5
31,26201,8916,4
29,24322,7561,4
30,10651,2841,3
26,11708,3073,5
24,30470,11964,6
39,40055,17092,3
33,16139,6493,4
24,11170,4259,3
27,29872,11418,4
25,37258,15823,4
40,25670,11286,4
36,19908,8343,6
29,12931,4654,4
32,22524,8609,6
28,10825,3600,5
28,44816,18073,5
26,6076,2311,4
27,37784,16081,6
37,34504,12032,7
30,31899,9450,5
31,29747,12160,2
31,47360,13738,6
36,10204,3178,5
28,25061,8439,3
26,38394,11142,3
37,23829,8019,5
28,48586,16810,5
27,22675,7789,5
24,46062,18283,5
24,32402,11514,4
27,40775,15517,5
33,28231,8315,4
35,17811,5726,5
33,46503,15433,4
28,19546,8674,6
30,29669,8043,7
27,30931,11448,7
27,38353,12238,6
34,32273,12552,4
25,36185,13074,5
39,43215,15588,5
30,40741,10836,3
31,49609,20051,5
27,8349,2167,6
27,30281,10599,5
24,10103,2749,3
29,43970,14540,4
32,19535,6048,5
31,27264,8536,5
27,6765,2668,4
26,11387,3473,6
28,21174,6930,5
37,24253,12194,4
25,24190,9663,6
29,18220,6657,6
39,40676,13107,5
30,13717,5133,6
24,18666,6429,6
27,21257,8260,6
32,10956,4354,3
28,26777,10562,3
27,49369,20269,3
28,33724,12105,4
30,39742,15486,4
37,29977,10274,5
30,14996,4868,6
35,8397,2623,6
33,25532,9754,5
29,12771,5408,3
23,40637,15480,6
28,38961,10382,6
28,6156,1771,6
30,45604,15190,5
36,42666,16756,5
40,47180,19849,7
37,39336,12318,5
29,33422,11767,5
22,36568,12768,4
28,37258,10312,5
30,46086,16062,2
34,16479,5591,5
34,8834,3274,5
33,42906,12738,5
24,38719,13016,5
34,32828,12406,5
28,16060,6997,5
31,11390,3556,5
30,27954,6872,5
32,15613,6081,5
30,7208,2700,7
23,43082,16697,6
33,26733,9219,5
32,45673,12287,5
29,22722,6500,5
31,36436,13047,7
31,38301,14734,5
31,29424,9737,6
37,47514,13508,6
29,26094,10512,6
31,21403,8147,6
35,13889,3315,3
35,31351,10382,6
35,48246,15809,6
27,14403,4884,7
39,30049,12715,5
30,15992,5670,6
38,37902,12100,5
24,24085,9676,4
30,42608,12683,5
36,29018,8926,5
27,7479,2057,6
27,19355,7050,5
26,9202,3117,5
25,25097,8868,4
28,14495,5126,5
31,6823,2301,7
21,18994,6887,6
31,21562,8190,4
36,41540,13352,6
39,38428,10912,6
36,24307,9610,6
33,23687,9973,6
22,35555,9539,4
27,6914,2054,6
28,45122,15244,6
33,45809,14109,6
30,48613,16170,5
24,35447,11624,6
38,17904,5706,5
34,7568,2926,6
31,31778,12680,4
35,33869,11264,5
24,18743,5937,4
33,8375,2976,5
28,37689,15993,6
